OID,Zone_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
0,47,253,0.000175694443039,43265,53983,10718,49542.446640299996943,2851.192846920000193,12534239.000000000000000,251,51487,43265,50174
1,48,75,0.000052083332917,33966,48725,14759,41887.373333299998194,4001.405752229999962,3141553.000000000000000,75,33966,33966,42379
2,63,96,0.000066666666133,47934,54744,6810,52343.572916700002679,1776.945862669999997,5024983.000000000000000,96,47934,47934,52592
3,73,310,0.000215277776056,40673,55344,14671,50847.932258100001491,4151.526764459999868,15762859.000000000000000,299,54896,40673,52296
4,85,327,0.000227083331517,39351,55442,16091,51141.446483200001239,4008.476080219999858,16723253.000000000000000,318,48785,39351,52378
5,118,66,0.000045833332967,51917,60982,9065,58138.621212099998957,2179.367824420000034,3837149.000000000000000,65,60556,51917,58728
6,125,243,0.000168749998650,48855,61340,12485,57696.506172800000058,3255.863267430000178,14020251.000000000000000,240,56248,48855,58834
7,133,277,0.000192361109572,46166,61247,15081,54960.256317699997453,3927.789088280000215,15223991.000000000000000,275,58871,46166,55031
8,163,229,0.000159027776506,37239,61131,23892,49938.104803499998525,6697.642077919999792,11435826.000000000000000,228,57117,37239,49576
9,168,86,0.000059722221744,37655,59001,21346,49240.953488400002243,6232.125265380000201,4234722.000000000000000,86,37655,37655,49913
10,236,185,0.000128472221194,42875,47548,4673,46608.718918899998243,986.465997506999997,8622613.000000000000000,180,46640,42875,46948
11,241,57,0.000039583333017,41660,47062,5402,45166.035087700001895,1383.693277600000101,2574464.000000000000000,57,41660,41660,45508
12,272,82,0.000056944443989,32482,38933,6451,34876.756097600002249,1585.016254140000001,2859894.000000000000000,82,32482,32482,34636
13,307,57,0.000039583333017,29598,30322,724,29922.701754400000937,197.738349617000011,1705594.000000000000000,56,30165,29598,29897
14,342,40,0.000027777777556,25415,28375,2960,27214.375000000000000,782.807469545000004,1088575.000000000000000,40,25415,25415,27337