Well #,Discharge pressure [PSI],Flow [GPM],Meter reading ,Chloride [mg/L],Time (type in) ,Date,Time actual
70,26,362,182853,45,730,12/19/16,7:30 AM
91,82,322,169984,30,710,12/19/16,7:10 AM
83,95,276,159360,25,715,12/19/16,7:15 AM
93,85,315,183510,35,705,12/19/16,7:05 AM
168,96,225,193290,25,720,12/19/16,7:20 AM
169,100,400,297730,25,725,12/19/16,7:25 AM
119,78,270,22921,580,700,12/19/16,7:00 AM
128,,,,130,900,12/19/16,9:00 AM
129,120,26,653993,20,630,12/19/16,6:30 AM
62,2,207,152037,240,840,12/19/16,8:40 AM
76,0,216,173755,130,845,12/19/16,8:45 AM
84,6,240,154888,460,855,12/19/16,8:55 AM
167,12,231,140962,135,850,12/19/16,8:50 AM
177,49,341,261711,460,647,12/19/16,6:47 AM
178,80,101,621625,30,655,12/19/16,6:55 AM
85,45,310,343147,35,615,12/19/16,6:15 AM
89,23,170,134152,30,610,12/19/16,6:10 AM
61,0,270,838817,480,940,12/19/16,9:40 AM
60,8,321,935927,460,935,12/19/16,9:35 AM
66,0,0,179694,,930,12/19/16,9:30 AM
46,,,,30,945,12/19/16,9:45 AM
33,16,260,375484,460,925,12/19/16,9:25 AM
77,10,221,146606,760,910,12/19/16,9:10 AM
72,0,310,241373,260,915,12/19/16,9:15 AM
81,15,300,142086,130,920,12/19/16,9:20 AM
67,39,217,936344,30,605,12/19/16,6:05 AM
171,36,241,989257,500,1420,12/19/16,2:20 PM
172,31,237,979958,520,1425,12/19/16,2:25 PM
182,,,8199,,802,12/19/16,8:02 AM
179,61,22,845158,25,1005,12/19/16,10:05 AM
101,32,520,423852,40,1020,12/19/16,10:20 AM
163,60,170,336552,1360,605,12/20/16,6:05 AM
107,39,390,237934,115,610,12/20/16,6:10 AM
105,43,,,40,615,12/20/16,6:15 AM
165,76,198,122369,30,620,12/20/16,6:20 AM
183,12,200,950603,25,627,12/20/16,6:27 AM
143,10,100,457181,20,638,12/20/16,6:38 AM
97,12,170,797924,1680,705,12/20/16,7:05 AM
99,7,125,367569,1040,710,12/20/16,7:10 AM
176,,,129825,,719,12/20/16,7:19 AM
144,,,28272,,638,12/20/16,6:38 AM
170,62,18,149866,25,745,12/20/16,7:45 AM
180,,,396288,,730,12/20/16,7:30 AM
164,60,32,47171,1520,829,12/20/16,8:29 AM
241,70,32,569835,25,900,12/20/16,9:00 AM
242,50,35,197000,25,905,12/20/16,9:05 AM
151,40,0,247987,95,940,12/20/16,9:40 AM
152,90,34,675620,420,945,12/20/16,9:45 AM
,,,276174,,1002,12/20/16,10:02 AM
104,13,10,278460,60,1020,12/20/16,10:20 AM